Unnamed: 0,1. CONTRA LAS PERSONAS,1.1.-Homicidios dolosos/asesinatos,1.1.1.-Homicidios dolosos/asesinatos consumados,1.2.-Lesiones,1.3.-Malos tratos ámbito familiar,1.4.-Otros contra las personas,2. CONTRA LA LIBERTAD,2.1.-Malos tratos habituales en el ámbito familiar,2.2.-Otros contra la libertad,3. LIBERTAD SEXUAL,3.1.-Agresión sexual,3.2.-Agresión sexual con penetración,3.3.-Corrupción de menores o incapacitados,3.4.-Pornografía de menores,3.5.-Otros contra la libertad sexual,4. RELACIONES FAMILIARES,5. PATRIMONIO,5.1.-Hurtos,5.2.-Robos con fuerza en las cosas,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,5.2.2.-Robos con fuerza en viviendas,5.2.3.-Robos con fuerza en establecimientos,5.3.-Robos con violencia o intimidación,5.3.1.-Robos con violencia en vía pública,5.3.2.-Robos con violencia en viviendas,5.3.3.-Robos con violencia en establecimientos,5.4.-Sustracción de vehículos,5.5.-Estafas,5.5.1.-Estafas informáticas,5.6.-Daños,5.7.-Contra la propiedad intelectual/industrial,5.8.-Blanqueo de capitales,5.9.-Otros contra el patrimonio,6. SEGURIDAD COLECTIVA,6.1.-Tráfico de drogas,6.2.-Contra la seguridad vial,6.3.-Otros contra la seguridad colectiva,7. FALSEDADES,8. ADMÓN. PÚBLICA,9. ADMÓN. JUSTICIA,10. ORDEN PÚBLICO,11. LEGISLACIÓN ESPECIAL,12. OTRAS INFRACCIONES PENALES,TOTAL INFRACCIONES PENALES,Year
    TOTAL NACIONAL,226761.0,1692.0,333.0,118125.0,101179.0,5765.0,159113.0,17120.0,141993.0,21825.0,12727.0,4890.0,389.0,909.0,2910.0,7611.0,1846821.0,665622.0,272638.0,104988.0,84721.0,35072.0,64711.0,44406.0,3844.0,8238.0,32839.0,533379.0,427448.0,209299.0,1451.0,516.0,66366.0,77130.0,21033.0,53517.0,2580.0,40889.0,506.0,41910.0,30011.0,464.0,11718.0,2464759.0,2023.0
    ANDALUCÍA,45636.0,363.0,71.0,24848.0,19294.0,1131.0,32765.0,3007.0,29758.0,3473.0,2044.0,604.0,74.0,130.0,621.0,1702.0,289412.0,95492.0,47977.0,19215.0,14101.0,5953.0,7676.0,5028.0,630.0,1195.0,5957.0,84455.0,72795.0,35037.0,332.0,106.0,12380.0,16357.0,4790.0,11043.0,524.0,6596.0,99.0,8688.0,5455.0,141.0,2857.0,413181.0,2023.0
    ARAGÓN,6071.0,47.0,9.0,2949.0,2967.0,108.0,3139.0,301.0,2838.0,511.0,330.0,92.0,13.0,21.0,55.0,179.0,36261.0,10651.0,5550.0,1044.0,1955.0,747.0,1076.0,702.0,65.0,203.0,318.0,12353.0,10891.0,5095.0,23.0,4.0,1191.0,1651.0,552.0,1049.0,50.0,743.0,11.0,1056.0,967.0,5.0,271.0,50865.0,2023.0
    ASTURIAS (PRINCIPADO DE),4185.0,21.0,6.0,2235.0,1861.0,68.0,2421.0,92.0,2329.0,325.0,199.0,67.0,8.0,14.0,37.0,95.0,23761.0,7681.0,2581.0,586.0,990.0,561.0,424.0,216.0,44.0,109.0,259.0,8907.0,7897.0,2931.0,9.0,2.0,967.0,1047.0,190.0,779.0,78.0,439.0,4.0,838.0,511.0,5.0,257.0,33888.0,2023.0
    BALEARS (ILLES),10159.0,50.0,8.0,4495.0,5341.0,273.0,6339.0,678.0,5661.0,1050.0,709.0,156.0,21.0,32.0,132.0,237.0,53976.0,23009.0,6806.0,3195.0,1937.0,738.0,1519.0,994.0,82.0,228.0,1832.0,13522.0,10299.0,4912.0,89.0,7.0,2280.0,2871.0,776.0,1892.0,203.0,912.0,18.0,1667.0,914.0,3.0,363.0,78509.0,2023.0
    CANARIAS,15210.0,77.0,17.0,7847.0,6765.0,521.0,11181.0,1078.0,10103.0,1189.0,750.0,221.0,31.0,53.0,134.0,564.0,66962.0,26245.0,7853.0,2969.0,2120.0,1249.0,1858.0,1106.0,148.0,333.0,1451.0,19297.0,15752.0,7441.0,107.0,19.0,2691.0,3725.0,764.0,2802.0,159.0,1269.0,25.0,2295.0,1099.0,10.0,693.0,104222.0,2023.0
    CANTABRIA,2738.0,10.0,0.0,1587.0,1032.0,109.0,1775.0,190.0,1585.0,169.0,103.0,34.0,3.0,7.0,22.0,53.0,17503.0,4831.0,2797.0,511.0,1291.0,465.0,255.0,129.0,32.0,63.0,116.0,6161.0,5428.0,2620.0,18.0,6.0,699.0,854.0,114.0,706.0,34.0,251.0,8.0,447.0,281.0,5.0,128.0,24212.0,2023.0
    CASTILLA Y LEÓN,9010.0,58.0,10.0,5181.0,3475.0,296.0,6397.0,692.0,5705.0,711.0,419.0,141.0,22.0,34.0,95.0,201.0,65001.0,17611.0,8284.0,1964.0,2786.0,1295.0,817.0,458.0,85.0,194.0,485.0,25535.0,22722.0,9892.0,56.0,18.0,2303.0,3071.0,492.0,2434.0,145.0,2033.0,33.0,1559.0,1028.0,16.0,764.0,89824.0,2023.0
    CASTILLA - LA MANCHA,8729.0,60.0,15.0,4830.0,3651.0,188.0,6078.0,977.0,5101.0,718.0,454.0,133.0,19.0,27.0,85.0,335.0,58871.0,14785.0,11034.0,2767.0,3588.0,1369.0,926.0,512.0,134.0,166.0,645.0,19751.0,17335.0,8893.0,32.0,49.0,2756.0,3596.0,595.0,2900.0,101.0,1851.0,25.0,1749.0,1081.0,6.0,669.0,83708.0,2023.0
    CATALUÑA,23941.0,310.0,71.0,15019.0,8064.0,548.0,23322.0,1794.0,21528.0,4361.0,2095.0,1589.0,8.0,198.0,471.0,1110.0,431028.0,170164.0,62232.0,27779.0,18485.0,7502.0,25421.0,18950.0,1012.0,2211.0,8466.0,111977.0,73994.0,38765.0,235.0,66.0,13702.0,11802.0,4368.0,7189.0,245.0,4490.0,63.0,4773.0,4171.0,141.0,970.0,510172.0,2023.0
    COMUNITAT VALENCIANA,28927.0,200.0,34.0,14127.0,14053.0,547.0,17389.0,2480.0,14909.0,2575.0,1666.0,472.0,53.0,89.0,295.0,910.0,211176.0,77573.0,37462.0,14322.0,14495.0,3788.0,6170.0,3812.0,491.0,957.0,3258.0,51860.0,41313.0,26859.0,225.0,78.0,7691.0,9533.0,2566.0,6627.0,340.0,5655.0,71.0,5936.0,4020.0,46.0,1141.0,287379.0,2023.0
    EXTREMADURA,3787.0,21.0,4.0,2357.0,1347.0,62.0,3069.0,311.0,2758.0,310.0,188.0,44.0,12.0,11.0,55.0,231.0,23968.0,6793.0,3740.0,792.0,1266.0,579.0,312.0,147.0,47.0,81.0,195.0,8335.0,7449.0,3654.0,25.0,7.0,907.0,1277.0,315.0,902.0,60.0,998.0,9.0,852.0,423.0,11.0,334.0,35269.0,2023.0
    GALICIA,9981.0,70.0,18.0,5748.0,3810.0,353.0,7986.0,859.0,7127.0,924.0,502.0,201.0,12.0,43.0,166.0,204.0,65713.0,20300.0,9491.0,3251.0,2684.0,1934.0,1049.0,552.0,100.0,274.0,580.0,21800.0,18721.0,9927.0,37.0,13.0,2516.0,4789.0,488.0,4147.0,154.0,1634.0,33.0,1779.0,988.0,7.0,762.0,94800.0,2023.0
    MADRID (COMUNIDAD DE),34880.0,206.0,33.0,13662.0,20263.0,749.0,18647.0,1347.0,17300.0,3066.0,1804.0,649.0,50.0,135.0,428.0,723.0,323394.0,128366.0,41106.0,21961.0,9336.0,4998.0,12015.0,8252.0,646.0,1495.0,7061.0,90148.0,71534.0,34276.0,119.0,81.0,10222.0,8997.0,3389.0,5381.0,227.0,9589.0,42.0,5631.0,5706.0,35.0,1072.0,411782.0,2023.0
    MURCIA (REGIÓN DE),8520.0,80.0,15.0,4325.0,3957.0,158.0,5396.0,388.0,5008.0,721.0,472.0,110.0,22.0,33.0,84.0,660.0,52383.0,16564.0,10318.0,3248.0,3909.0,1356.0,2071.0,1307.0,143.0,345.0,970.0,14416.0,12310.0,5752.0,37.0,11.0,2244.0,1737.0,580.0,1062.0,95.0,1447.0,20.0,1766.0,1025.0,16.0,503.0,74194.0,2023.0
    NAVARRA (COMUNIDAD FORAL DE),3028.0,38.0,6.0,1784.0,1102.0,104.0,2522.0,310.0,2212.0,462.0,274.0,82.0,18.0,25.0,63.0,94.0,25568.0,8661.0,2939.0,628.0,1034.0,419.0,467.0,346.0,22.0,57.0,154.0,9253.0,6576.0,3264.0,43.0,22.0,765.0,1541.0,158.0,1338.0,45.0,676.0,15.0,489.0,539.0,0.0,160.0,35094.0,2023.0
    PAÍS VASCO,8715.0,50.0,6.0,5502.0,2681.0,482.0,8817.0,2500.0,6317.0,969.0,538.0,235.0,14.0,40.0,142.0,195.0,80195.0,30129.0,10344.0,30.0,4079.0,1890.0,2107.0,1519.0,129.0,259.0,751.0,26619.0,25095.0,7939.0,58.0,12.0,2236.0,3190.0,597.0,2517.0,76.0,1868.0,18.0,1838.0,1405.0,10.0,603.0,107823.0,2023.0
    RIOJA (LA),1490.0,15.0,3.0,753.0,676.0,46.0,858.0,94.0,764.0,124.0,82.0,18.0,5.0,7.0,12.0,30.0,8570.0,2974.0,1356.0,260.0,559.0,145.0,150.0,88.0,12.0,36.0,68.0,2324.0,2021.0,1252.0,3.0,0.0,443.0,454.0,93.0,334.0,27.0,128.0,5.0,284.0,149.0,3.0,57.0,12152.0,2023.0
    CIUDAD AUTÓNOMA DE CEUTA,644.0,11.0,5.0,348.0,283.0,2.0,311.0,8.0,303.0,45.0,32.0,8.0,1.0,2.0,2.0,19.0,1909.0,529.0,192.0,115.0,33.0,19.0,84.0,62.0,7.0,10.0,108.0,617.0,514.0,311.0,1.0,0.0,67.0,264.0,99.0,161.0,4.0,96.0,1.0,95.0,120.0,0.0,37.0,3541.0,2023.0
    CIUDAD AUTÓNOMA DE MELILLA,923.0,3.0,0.0,509.0,396.0,15.0,462.0,1.0,461.0,41.0,31.0,3.0,0.0,2.0,5.0,12.0,2213.0,747.0,248.0,104.0,60.0,59.0,119.0,86.0,9.0,12.0,65.0,506.0,409.0,447.0,1.0,0.0,80.0,323.0,60.0,253.0,10.0,70.0,5.0,141.0,101.0,4.0,62.0,4357.0,2023.0
