Unnamed: 0,1 CONTRA LAS PERSONAS,11-Homicidios dolosos/asesinatos,111-Homicidios dolosos/asesinatos consumados,12-Lesiones,13-Malos tratos ámbito familiar,14-Otros contra las personas,2 CONTRA LA LIBERTAD,21-Malos tratos habituales en el ámbito familiar,22-Otros contra la libertad,3 LIBERTAD SEXUAL,31-Agresión sexual,32-Agresión sexual con penetración,33-Corrupción de menores o incapacitados,34-Pornografía de menores,35-Otros contra la libertad sexual,4 RELACIONES FAMILIARES,5 PATRIMONIO,51-Hurtos,52-Robos con fuerza en las cosas,521-Robos con fuerza en las cosas en el interior de vehículos,522-Robos con fuerza en viviendas,523-Robos con fuerza en establecimientos,53-Robos con violencia o intimidación,531-Robos con violencia en vía pública,532-Robos con violencia en viviendas,533-Robos con violencia en establecimientos,54-Sustracción de vehículos,55-Estafas,551-Estafas informáticas,56-Daños,57-Contra la propiedad intelectual/industrial,58-Blanqueo de capitales,59-Otros contra el patrimonio,6 SEGURIDAD COLECTIVA,61-Tráfico de drogas,62-Contra la seguridad vial,63-Otros contra la seguridad colectiva,7 FALSEDADES,8 ADMÓN PÚBLICA,9 ADMÓN JUSTICIA,10 ORDEN PÚBLICO,11 LEGISLACIÓN ESPECIAL,12 OTRAS INFRACCIONES PENALES,TOTAL INFRACCIONES PENALES,Unnamed: 45,Year
    TOTAL NACIONAL,186110.0,1167.0,331.0,103341.0,77424.0,4178.0,125685.0,14575.0,111110.0,15319.0,8885.0,3079.0,369.0,866.0,2120.0,7288.0,1707144.0,700453.0,298098.0,108637.0,98326.0,32363.0,65874.0,25916.0,3223.0,5609.0,35105.0,327723.0,192375.0,219424.0,1807.0,295.0,58365.0,68749.0,16624.0,49869.0,2256.0,24529.0,416.0,32082.0,21877.0,306.0,9970.0,2199475.0,,2019.0
    ANDALUCÍA,37130.0,238.0,82.0,20624.0,15455.0,813.0,25751.0,2752.0,22999.0,2510.0,1462.0,401.0,92.0,132.0,423.0,1503.0,239711.0,91298.0,47542.0,17691.0,15349.0,6935.0,7302.0,4714.0,605.0,1163.0,6511.0,42358.0,23237.0,33332.0,439.0,82.0,10847.0,15094.0,4366.0,10270.0,458.0,3988.0,93.0,6728.0,4172.0,191.0,2450.0,339321.0,,2019.0
    ARAGÓN,4760.0,15.0,6.0,2407.0,2246.0,92.0,2276.0,285.0,1991.0,330.0,212.0,47.0,11.0,20.0,40.0,161.0,31651.0,10546.0,5471.0,1703.0,1568.0,737.0,1033.0,730.0,40.0,193.0,242.0,7976.0,4536.0,5122.0,34.0,3.0,1224.0,1360.0,351.0,972.0,37.0,446.0,3.0,799.0,570.0,2.0,225.0,42583.0,,2019.0
    ASTURIAS (PRINCIPADO DE),3368.0,18.0,7.0,1947.0,1344.0,59.0,1872.0,107.0,1765.0,193.0,121.0,28.0,3.0,11.0,30.0,99.0,19066.0,6780.0,2440.0,421.0,908.0,618.0,362.0,196.0,41.0,97.0,224.0,5577.0,3657.0,2824.0,18.0,1.0,840.0,1205.0,206.0,948.0,51.0,220.0,6.0,567.0,360.0,2.0,205.0,27163.0,,2019.0
    BALEARS (ILLES),8110.0,48.0,6.0,3774.0,4123.0,165.0,4718.0,526.0,4192.0,743.0,492.0,126.0,14.0,16.0,95.0,188.0,58274.0,26584.0,7883.0,2893.0,2598.0,965.0,1314.0,843.0,85.0,164.0,1429.0,13091.0,7702.0,5625.0,133.0,8.0,2207.0,2880.0,656.0,2051.0,173.0,716.0,11.0,1095.0,652.0,0.0,275.0,77662.0,,2019.0
    CANARIAS,12396.0,64.0,20.0,6922.0,5042.0,368.0,9328.0,850.0,8478.0,907.0,591.0,117.0,34.0,68.0,97.0,639.0,64716.0,26122.0,10888.0,4544.0,2886.0,1358.0,1535.0,905.0,154.0,256.0,1295.0,14386.0,7286.0,7480.0,154.0,14.0,2842.0,3439.0,603.0,2779.0,57.0,1114.0,17.0,1721.0,922.0,13.0,427.0,95639.0,,2019.0
    CANTABRIA,2053.0,15.0,6.0,1300.0,633.0,105.0,1455.0,135.0,1320.0,107.0,66.0,15.0,2.0,8.0,16.0,41.0,12953.0,4868.0,2471.0,439.0,1068.0,540.0,223.0,110.0,25.0,54.0,132.0,2261.0,1766.0,2245.0,17.0,0.0,736.0,716.0,86.0,622.0,8.0,162.0,3.0,282.0,168.0,0.0,133.0,18073.0,,2019.0
    CASTILLA Y LEÓN,7345.0,38.0,8.0,4571.0,2447.0,289.0,5398.0,532.0,4866.0,507.0,275.0,81.0,15.0,31.0,105.0,196.0,56640.0,19206.0,8819.0,1658.0,2965.0,1720.0,706.0,391.0,62.0,163.0,573.0,14634.0,9464.0,10845.0,51.0,9.0,1797.0,2911.0,447.0,2355.0,109.0,840.0,14.0,1186.0,750.0,10.0,566.0,76363.0,,2019.0
    CASTILLA - LA MANCHA,7335.0,41.0,11.0,4077.0,3048.0,169.0,4655.0,597.0,4058.0,520.0,327.0,72.0,15.0,31.0,75.0,326.0,50473.0,13831.0,11888.0,2688.0,4754.0,1685.0,978.0,586.0,82.0,162.0,615.0,11708.0,6445.0,8681.0,38.0,19.0,2715.0,3224.0,465.0,2659.0,100.0,1177.0,29.0,1250.0,766.0,6.0,547.0,70308.0,,2019.0
    CATALUÑA,21109.0,248.0,58.0,14002.0,6488.0,371.0,18675.0,1507.0,17168.0,3034.0,1545.0,953.0,7.0,211.0,318.0,1134.0,425113.0,192053.0,76612.0,33293.0,23753.0,11.0,26448.0,82.0,390.0,11.0,9711.0,63313.0,40016.0,43433.0,260.0,22.0,13261.0,8938.0,2615.0,6107.0,216.0,3791.0,58.0,3519.0,3073.0,13.0,808.0,489265.0,,2019.0
    COMUNITAT VALENCIANA,23332.0,148.0,40.0,11815.0,11011.0,358.0,13046.0,1764.0,11282.0,1749.0,1057.0,289.0,57.0,100.0,246.0,858.0,174091.0,68122.0,35068.0,10880.0,15271.0,4276.0,4950.0,3020.0,452.0,766.0,3190.0,29697.0,15758.0,26649.0,177.0,55.0,6183.0,7739.0,1979.0,5525.0,235.0,3250.0,48.0,4643.0,2671.0,11.0,1111.0,232549.0,,2019.0
    EXTREMADURA,3185.0,13.0,5.0,1932.0,1173.0,67.0,2423.0,265.0,2158.0,214.0,135.0,25.0,12.0,9.0,33.0,224.0,18583.0,6566.0,3379.0,706.0,994.0,646.0,320.0,177.0,35.0,71.0,144.0,3873.0,2410.0,3504.0,42.0,2.0,753.0,1248.0,323.0,843.0,82.0,445.0,8.0,680.0,290.0,5.0,286.0,27591.0,,2019.0
    GALICIA,8027.0,41.0,16.0,4804.0,3004.0,178.0,5692.0,700.0,4992.0,634.0,368.0,124.0,14.0,39.0,89.0,171.0,56924.0,18846.0,9618.0,2759.0,3135.0,2072.0,945.0,450.0,114.0,234.0,604.0,15690.0,9999.0,9311.0,101.0,8.0,1801.0,4992.0,517.0,4331.0,144.0,886.0,21.0,1409.0,718.0,6.0,544.0,80024.0,,2019.0
    MADRID (COMUNIDAD DE),29288.0,110.0,32.0,13704.0,14907.0,567.0,15655.0,1223.0,14432.0,2215.0,1292.0,455.0,55.0,108.0,305.0,822.0,337836.0,154169.0,47391.0,24125.0,11469.0,6462.0,15372.0,10896.0,871.0,1595.0,8030.0,62020.0,32841.0,42315.0,202.0,35.0,8302.0,7696.0,2577.0,4873.0,246.0,4042.0,55.0,4671.0,4428.0,24.0,1004.0,407736.0,,2019.0
