region,1_against_people,1.1_intentional_homicides_murders,1.1.1_intentional_homicides_murders_committed,1.2_injuries,1.3_domestic_violence,1.4_other_crimes_against_people,2_against_freedom,2.1_habitual_domestic_violence,2.2_other_crimes_against_freedom,3_sexual_freedom,3.1_sexual_assault,3.1.1_sexual_assault_with_penetration,3.2_corruption_of_minors_or_disabled,3.3_child_pornography,3.4_other_crimes_against_sexual_freedom,4_family_relationships,5_property_crimes,5.1_thefts,5.2_robbery_with_force,521_Robos_con_fuerza_en_las_cosas_en_el_interior_de_vehículos,5.2.2_robbery_with_force_in_homes,5.2.3_robbery_with_force_in_establishments,5.3_robbery_with_violence_or_intimidation,5.3.1_robbery_with_violence_in_public_ways,5.3.2_robbery_with_violence_in_homes,5.3.3_robbery_with_violence_in_establishments,5.4_vehicle_theft,5.5_fraud,5.5.1_computer_fraud,5.6_damage,5.7_against_intellectual_industrial_property,5.8_money_laundering,5.9_other_property_crimes,6_collective_security,6.1_drug_trafficking,6.2_against_road_safety,6.3_other_collective_security_crimes,7_forgeries,8_public_administration,9_justice_administration,10_public_order,11_special_legislation,12_other_criminal_offenses,total_criminal_offenses,year
ANDALUCÍA,45636,363,71,24848,19294,1131,32765,3007,29758,3473,2044,604,74,130,621,1702,289412,95492,47977,19215,14101,5953,7676,5028,630,1195,5957,84455,72795,35037,332,106,12380,16357,4790,11043,524,6596,99,8688,5455,141,2857,413181,2023
ARAGÓN,6071,47,9,2949,2967,108,3139,301,2838,511,330,92,13,21,55,179,36261,10651,5550,1044,1955,747,1076,702,65,203,318,12353,10891,5095,23,4,1191,1651,552,1049,50,743,11,1056,967,5,271,50865,2023
ASTURIAS (PRINCIPADO DE),4185,21,6,2235,1861,68,2421,92,2329,325,199,67,8,14,37,95,23761,7681,2581,586,990,561,424,216,44,109,259,8907,7897,2931,9,2,967,1047,190,779,78,439,4,838,511,5,257,33888,2023
BALEARS (ILLES),10159,50,8,4495,5341,273,6339,678,5661,1050,709,156,21,32,132,237,53976,23009,6806,3195,1937,738,1519,994,82,228,1832,13522,10299,4912,89,7,2280,2871,776,1892,203,912,18,1667,914,3,363,78509,2023
CANARIAS,15210,77,17,7847,6765,521,11181,1078,10103,1189,750,221,31,53,134,564,66962,26245,7853,2969,2120,1249,1858,1106,148,333,1451,19297,15752,7441,107,19,2691,3725,764,2802,159,1269,25,2295,1099,10,693,104222,2023
CANTABRIA,2738,10,0,1587,1032,109,1775,190,1585,169,103,34,3,7,22,53,17503,4831,2797,511,1291,465,255,129,32,63,116,6161,5428,2620,18,6,699,854,114,706,34,251,8,447,281,5,128,24212,2023
CASTILLA Y LEÓN,9010,58,10,5181,3475,296,6397,692,5705,711,419,141,22,34,95,201,65001,17611,8284,1964,2786,1295,817,458,85,194,485,25535,22722,9892,56,18,2303,3071,492,2434,145,2033,33,1559,1028,16,764,89824,2023
CASTILLA - LA MANCHA,8729,60,15,4830,3651,188,6078,977,5101,718,454,133,19,27,85,335,58871,14785,11034,2767,3588,1369,926,512,134,166,645,19751,17335,8893,32,49,2756,3596,595,2900,101,1851,25,1749,1081,6,669,83708,2023
CATALUÑA,23941,310,71,15019,8064,548,23322,1794,21528,4361,2095,1589,8,198,471,1110,431028,170164,62232,27779,18485,7502,25421,18950,1012,2211,8466,111977,73994,38765,235,66,13702,11802,4368,7189,245,4490,63,4773,4171,141,970,510172,2023
COMUNITAT VALENCIANA,28927,200,34,14127,14053,547,17389,2480,14909,2575,1666,472,53,89,295,910,211176,77573,37462,14322,14495,3788,6170,3812,491,957,3258,51860,41313,26859,225,78,7691,9533,2566,6627,340,5655,71,5936,4020,46,1141,287379,2023
EXTREMADURA,3787,21,4,2357,1347,62,3069,311,2758,310,188,44,12,11,55,231,23968,6793,3740,792,1266,579,312,147,47,81,195,8335,7449,3654,25,7,907,1277,315,902,60,998,9,852,423,11,334,35269,2023
GALICIA,9981,70,18,5748,3810,353,7986,859,7127,924,502,201,12,43,166,204,65713,20300,9491,3251,2684,1934,1049,552,100,274,580,21800,18721,9927,37,13,2516,4789,488,4147,154,1634,33,1779,988,7,762,94800,2023
MADRID (COMUNIDAD DE),34880,206,33,13662,20263,749,18647,1347,17300,3066,1804,649,50,135,428,723,323394,128366,41106,21961,9336,4998,12015,8252,646,1495,7061,90148,71534,34276,119,81,10222,8997,3389,5381,227,9589,42,5631,5706,35,1072,411782,2023
MURCIA (REGIÓN DE),8520,80,15,4325,3957,158,5396,388,5008,721,472,110,22,33,84,660,52383,16564,10318,3248,3909,1356,2071,1307,143,345,970,14416,12310,5752,37,11,2244,1737,580,1062,95,1447,20,1766,1025,16,503,74194,2023
NAVARRA (COMUNIDAD FORAL DE),3028,38,6,1784,1102,104,2522,310,2212,462,274,82,18,25,63,94,25568,8661,2939,628,1034,419,467,346,22,57,154,9253,6576,3264,43,22,765,1541,158,1338,45,676,15,489,539,0,160,35094,2023
PAÍS VASCO,8715,50,6,5502,2681,482,8817,2500,6317,969,538,235,14,40,142,195,80195,30129,10344,30,4079,1890,2107,1519,129,259,751,26619,25095,7939,58,12,2236,3190,597,2517,76,1868,18,1838,1405,10,603,107823,2023
RIOJA (LA),1490,15,3,753,676,46,858,94,764,124,82,18,5,7,12,30,8570,2974,1356,260,559,145,150,88,12,36,68,2324,2021,1252,3,0,443,454,93,334,27,128,5,284,149,3,57,12152,2023
CIUDAD AUTÓNOMA DE CEUTA,644,11,5,348,283,2,311,8,303,45,32,8,1,2,2,19,1909,529,192,115,33,19,84,62,7,10,108,617,514,311,1,0,67,264,99,161,4,96,1,95,120,0,37,3541,2023
CIUDAD AUTÓNOMA DE MELILLA,923,3,0,509,396,15,462,1,461,41,31,3,0,2,5,12,2213,747,248,104,60,59,119,86,9,12,65,506,409,447,1,0,80,323,60,253,10,70,5,141,101,4,62,4357,2023
ANDALUCÍA,42594,358,74,23218,18119,899,28618,2858,25760,3067,1848,512,84,118,505,1575,264965,89038,44168,17583,13281,5362,7335,4843,586,1107,5578,71465,49323,34850,177,107,12247,16380,4616,11052,712,6385,91,7625,5077,215,2541,379133,2022
ARAGÓN,5597,37,10,2838,2627,95,2719,282,2437,423,245,89,18,20,51,186,34667,10629,5193,1026,1493,881,1195,843,55,197,279,10951,8732,5208,20,10,1182,1673,420,1209,44,631,12,860,882,3,236,47889,2022
ASTURIAS (PRINCIPADO DE),3895,22,6,2213,1593,67,2228,105,2123,277,174,46,9,11,37,69,22476,6810,2083,458,830,353,392,212,35,95,239,8809,7661,3151,13,1,978,1080,170,859,51,592,2,729,506,1,238,32093,2022
BALEARS (ILLES),9288,39,3,4169,4868,212,5863,642,5221,915,597,157,23,14,124,280,53397,24460,7048,3192,2174,748,1272,811,88,167,1564,11589,7452,5284,72,9,2099,2458,627,1692,139,1045,22,1499,884,1,330,75982,2022
CANARIAS,13601,60,13,7038,6060,443,9960,841,9119,1148,748,234,19,33,114,599,61602,23596,8596,3373,2370,1241,1615,948,138,300,1244,16324,11699,7688,91,10,2438,3649,744,2799,106,1290,23,1975,935,1,668,95451,2022
CANTABRIA,2463,12,1,1504,865,82,1655,163,1492,162,90,39,4,11,18,55,17321,4878,2841,578,1348,445,242,109,31,71,86,5888,4349,2760,22,2,602,895,83,772,40,259,2,390,362,1,144,23709,2022
