Region,1_against_people,1.1_intentional_homicides_murders,1.1.1_intentional_homicides_murders_committed,1.2_injuries,1.3_domestic_violence,1.4_other_crimes_against_people,2_against_freedom,2.1_habitual_domestic_violence,2.2_other_crimes_against_freedom,3_sexual_freedom,3.1_sexual_assault,3.1.1_sexual_assault_with_penetration,3.2_corruption_of_minors_or_disabled,3.3_child_pornography,3.4_other_crimes_against_sexual_freedom,4_family_relationships,5_property_crimes,5.1_thefts,5.2_robbery_with_force,521_Robos_con_fuerza_en_las_cosas_en_el_interior_de_vehículos,5.2.2_robbery_with_force_in_homes,5.2.3_robbery_with_force_in_establishments,5.3_robbery_with_violence_or_intimidation,5.3.1_robbery_with_violence_in_public_ways,5.3.2_robbery_with_violence_in_homes,5.3.3_robbery_with_violence_in_establishments,5.4_vehicle_theft,5.5_fraud,5.5.1_computer_fraud,5.6_damage,5.7_against_intellectual_industrial_property,5.8_money_laundering,5.9_other_property_crimes,6_collective_security,6.1_drug_trafficking,6.2_against_road_safety,6.3_other_collective_security_crimes,7_forgeries,8_public_administration,9_justice_administration,10_public_order,11_special_legislation,12_other_criminal_offenses,total_criminal_offenses,year
    TOTAL NACIONAL,226761,1692,333,118125,101179,5765,159113,17120,141993,21825,12727,4890,389,909,2910,7611,1846821,665622,272638,104988,84721,35072,64711,44406,3844,8238,32839,533379,427448,209299,1451,516,66366,77130,21033,53517,2580,40889,506,41910,30011,464,11718,2464759,2023
    EN EL EXTRANJERO,187,2,2,19,161,5,239,13,226,81,35,31,3,6,6,57,8957,2517,328,247,13,6,195,140,6,10,100,5543,4393,32,1,15,226,51,47,1,3,144,1,27,28,0,15,9787,2023
    DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
    TOTAL NACIONAL,212804,1539,326,113704,92695,4866,143861,15647,128214,19013,11426,4270,384,707,2226,7567,1747464,642276,265901,101084,86515,31552,63392,43100,3669,8210,30767,466566,335995,213694,1217,411,63240,76692,19057,54976,2659,37717,509,37910,28562,330,10646,2323075,2022
    EN EL EXTRANJERO,172,1,1,28,137,6,213,20,193,87,55,22,1,2,7,54,9917,2078,353,218,17,11,164,111,0,10,66,7029,5451,40,1,8,178,24,23,1,0,113,1,20,9,1,18,10629,2022
    DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
    TOTAL NACIONAL,183590,1322,293,96159,82003,4106,139867,15008,124859,17016,10061,3795,347,739,2074,7410,1434698,493479,229137,87774,75501,27198,53073,35726,3477,6663,26417,373113,267011,201828,1176,343,56132,68891,18313,48394,2184,34058,541,33370,27594,343,10341,1957719,2021
    EN EL EXTRANJERO,103,0,0,15,87,1,248,12,236,52,29,14,4,2,3,78,6661,832,162,128,9,1,74,54,2,2,58,5349,4011,28,1,0,157,17,17,0,0,112,0,16,8,1,10,7306,2021
    DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
    TOTAL NACIONAL,161406,1201,298,81449,75203,3553,125010,13993,111017,13174,7276,2785,350,762,2001,6831,1304424,420950,219091,54633,72380,31237,45263,30162,3208,6138,25387,360844,257907,180429,930,310,51220,60162,17112,41120,1930,24020,350,31140,30272,325,9665,1766779,2020
    EN EL EXTRANJERO,110,1,1,19,90,0,266,15,251,44,19,10,1,8,6,45,8725,912,173,122,15,4,75,58,1,1,90,7281,5469,18,2,3,171,21,19,0,2,148,2,18,6,0,10,9395,2020
    DESCONOCIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
