year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2019,0,37.3873,-5.9869,8414240.0,1_against_people,37130.0,1,0,0,0,0,0,0,0,0,0.8706815012876357
2019,1,41.6488,-0.8891,1319291.0,1_against_people,4760.0,1,0,0,0,0,0,0,0,0,-0.29833520893376103
2019,2,43.3619,-5.8494,1022800.0,1_against_people,3368.0,1,0,0,0,0,0,0,0,0,-0.33738532401150223
2019,3,39.5712,2.6466,1149460.0,1_against_people,8110.0,1,0,0,0,0,0,0,0,0,-0.18794081103845203
2019,5,28.2916,-16.6291,2153389.0,1_against_people,12396.0,1,0,0,0,0,0,0,0,0,-0.01698532359136703
2019,4,43.1828,-3.9878,581078.0,1_against_people,2053.0,1,0,0,0,0,0,0,0,0,-0.38286358640295187
2019,7,41.6523,-4.7245,2399548.0,1_against_people,7345.0,1,0,0,0,0,0,0,0,0,-0.18744143467379534
2019,6,39.8628,-4.0273,2032863.0,1_against_people,7335.0,1,0,0,0,0,0,0,0,0,-0.2063562044837933
2019,8,41.3851,2.1734,7675217.0,1_against_people,21109.0,1,0,0,0,0,0,0,0,0,0.3197723249186562
2019,11,39.4699,-0.3763,5003769.0,1_against_people,23332.0,1,0,0,0,0,0,0,0,0,0.35764293370119266
2019,12,39.4765,-6.3722,1067710.0,1_against_people,3185.0,1,0,0,0,0,0,0,0,0,-0.33929560046444174
2019,13,42.5751,-8.1339,2699499.0,1_against_people,8027.0,1,0,0,0,0,0,0,0,0,-0.15457048607992036
2019,14,40.4168,-3.7038,6663394.0,1_against_people,29288.0,1,0,0,0,0,0,0,0,0,0.5616192218891293
2019,15,37.9922,-1.1307,1493898.0,1_against_people,6237.0,1,0,0,0,0,0,0,0,0,-0.23168502610082942
2019,16,42.6954,-1.6761,654214.0,1_against_people,2693.0,1,0,0,0,0,0,0,0,0,-0.36564888376011057
2019,17,43.263,-2.9349,2207776.0,1_against_people,6884.0,1,0,0,0,0,0,0,0,0,-0.22995924198643264
2019,18,42.2871,-2.5396,316798.0,1_against_people,1042.0,1,0,0,0,0,0,0,0,0,-0.42105863067286486
2019,9,35.8894,-5.3198,84777.0,1_against_people,710.0,1,0,0,0,0,0,0,0,0,-0.4332822110689644
2019,10,35.293,-2.9387,86487.0,1_against_people,931.0,1,0,0,0,0,0,0,0,0,-0.42602512417639093
2019,0,37.3873,-5.9869,8414240.0,2_against_freedom,25751.0,0,1,0,0,0,0,0,0,0,0.46447665659143944
2019,1,41.6488,-0.8891,1319291.0,2_against_freedom,2276.0,0,1,0,0,0,0,0,0,0,-0.3775056998358701
2019,2,43.3619,-5.8494,1022800.0,2_against_freedom,1872.0,0,1,0,0,0,0,0,0,0,-0.39051032975866984
2019,3,39.5712,2.6466,1149460.0,2_against_freedom,4718.0,0,1,0,0,0,0,0,0,0,-0.29323163355705084
2019,5,28.2916,-16.6291,2153389.0,2_against_freedom,9328.0,0,1,0,0,0,0,0,0,0,-0.1252410606956825
2019,4,43.1828,-3.9878,581078.0,2_against_freedom,1455.0,0,1,0,0,0,0,0,0,0,-0.40915538843717475
2019,7,41.6523,-4.7245,2399548.0,2_against_freedom,5398.0,0,1,0,0,0,0,0,0,0,-0.26176332618494697
2019,6,39.8628,-4.0273,2032863.0,2_against_freedom,4655.0,0,1,0,0,0,0,0,0,0,-0.2923614766868453
2019,8,41.3851,2.1734,7675217.0,2_against_freedom,18675.0,0,1,0,0,0,0,0,0,0,0.24402364075185698
2019,11,39.4699,-0.3763,5003769.0,2_against_freedom,13046.0,0,1,0,0,0,0,0,0,0,0.007732768045637805
2019,12,39.4765,-6.3722,1067710.0,2_against_freedom,2423.0,0,1,0,0,0,0,0,0,0,-0.37641788887524313
2019,13,42.5751,-8.1339,2699499.0,2_against_freedom,5692.0,0,1,0,0,0,0,0,0,0,-0.23435494267927473
2019,14,40.4168,-3.7038,6663394.0,2_against_freedom,15655.0,0,1,0,0,0,0,0,0,0,0.07701717876952184
2019,15,37.9922,-1.1307,1493898.0,2_against_freedom,3741.0,0,1,0,0,0,0,0,0,0,-0.33506619771219276
2019,16,42.6954,-1.6761,654214.0,2_against_freedom,1799.0,0,1,0,0,0,0,0,0,0,-0.3936485816302008
2019,17,43.263,-2.9349,2207776.0,2_against_freedom,7779.0,0,1,0,0,0,0,0,0,0,-0.16204140276751375
2019,18,42.2871,-2.5396,316798.0,2_against_freedom,518.0,0,1,0,0,0,0,0,0,0,-0.44202212138437214
2019,9,35.8894,-5.3198,84777.0,2_against_freedom,283.0,0,1,0,0,0,0,0,0,0,-0.44945612445170247
2019,10,35.293,-2.9387,86487.0,2_against_freedom,296.0,0,1,0,0,0,0,0,0,0,-0.44741822904703055
2019,0,37.3873,-5.9869,8414240.0,3_sexual_freedom,2510.0,0,0,1,0,0,0,0,0,0,-0.38026086940101245
2019,1,41.6488,-0.8891,1319291.0,3_sexual_freedom,330.0,0,0,1,0,0,0,0,0,0,-0.44843695922571913
2019,2,43.3619,-5.8494,1022800.0,3_sexual_freedom,193.0,0,0,1,0,0,0,0,0,0,-0.45367188793676794
2019,3,39.5712,2.6466,1149460.0,3_sexual_freedom,743.0,0,0,1,0,0,0,0,0,0,-0.44032234343664517
2019,5,28.2916,-16.6291,2153389.0,3_sexual_freedom,907.0,0,0,1,0,0,0,0,0,0,-0.4357203707273358
2019,4,43.1828,-3.9878,581078.0,3_sexual_freedom,107.0,0,0,1,0,0,0,0,0,0,-0.4567868290590757
2019,7,41.6523,-4.7245,2399548.0,3_sexual_freedom,507.0,0,0,1,0,0,0,0,0,0,-0.4460608544134655
2019,6,39.8628,-4.0273,2032863.0,3_sexual_freedom,520.0,0,0,1,0,0,0,0,0,0,-0.44461957008356656
2019,8,41.3851,2.1734,7675217.0,3_sexual_freedom,3034.0,0,0,1,0,0,0,0,0,0,-0.36967372496113343
2019,11,39.4699,-0.3763,5003769.0,3_sexual_freedom,1749.0,0,0,1,0,0,0,0,0,0,-0.4053783888148074
2019,12,39.4765,-6.3722,1067710.0,3_sexual_freedom,214.0,0,0,1,0,0,0,0,0,0,-0.4534105031836266
2019,13,42.5751,-8.1339,2699499.0,3_sexual_freedom,634.0,0,0,1,0,0,0,0,0,0,-0.4417635292985356
2019,14,40.4168,-3.7038,6663394.0,3_sexual_freedom,2215.0,0,0,1,0,0,0,0,0,0,-0.39177249575497153
2019,15,37.9922,-1.1307,1493898.0,3_sexual_freedom,535.0,0,0,1,0,0,0,0,0,0,-0.4440839039014025
2019,16,42.6954,-1.6761,654214.0,3_sexual_freedom,232.0,0,0,1,0,0,0,0,0,0,-0.450806269696058
2019,17,43.263,-2.9349,2207776.0,3_sexual_freedom,668.0,0,0,1,0,0,0,0,0,0,-0.44026006629245656
2019,18,42.2871,-2.5396,316798.0,3_sexual_freedom,92.0,0,0,1,0,0,0,0,0,0,-0.45791781657948916
2019,9,35.8894,-5.3198,84777.0,3_sexual_freedom,23.0,0,0,1,0,0,0,0,0,0,-0.4585839421902746
2019,10,35.293,-2.9387,86487.0,3_sexual_freedom,33.0,0,0,1,0,0,0,0,0,0,-0.4586549532100736
2019,0,37.3873,-5.9869,8414240.0,4_family_relationships,1503.0,0,0,0,1,0,0,0,0,0,-0.4008131965951701
2019,1,41.6488,-0.8891,1319291.0,4_family_relationships,161.0,0,0,0,1,0,0,0,0,0,-0.4537278376704557
2019,2,43.3619,-5.8494,1022800.0,4_family_relationships,99.0,0,0,0,1,0,0,0,0,0,-0.45584438498270186
2019,3,39.5712,2.6466,1149460.0,4_family_relationships,188.0,0,0,0,1,0,0,0,0,0,-0.452833050314086
2019,5,28.2916,-16.6291,2153389.0,4_family_relationships,639.0,0,0,0,1,0,0,0,0,0,-0.4289000389136701
2019,4,43.1828,-3.9878,581078.0,4_family_relationships,41.0,0,0,0,1,0,0,0,0,0,-0.4584271801507491
2019,7,41.6523,-4.7245,2399548.0,4_family_relationships,196.0,0,0,0,1,0,0,0,0,0,-0.4522154485567958
2019,6,39.8628,-4.0273,2032863.0,4_family_relationships,326.0,0,0,0,1,0,0,0,0,0,-0.44758934436418396
2019,8,41.3851,2.1734,7675217.0,4_family_relationships,1134.0,0,0,0,1,0,0,0,0,0,-0.4092226815152435
2019,11,39.4699,-0.3763,5003769.0,4_family_relationships,858.0,0,0,0,1,0,0,0,0,0,-0.425935366000198
2019,12,39.4765,-6.3722,1067710.0,4_family_relationships,224.0,0,0,0,1,0,0,0,0,0,-0.45193393147889743
2019,13,42.5751,-8.1339,2699499.0,4_family_relationships,171.0,0,0,0,1,0,0,0,0,0,-0.45159715260357536
2019,14,40.4168,-3.7038,6663394.0,4_family_relationships,822.0,0,0,0,1,0,0,0,0,0,-0.4271966949291092
2019,15,37.9922,-1.1307,1493898.0,4_family_relationships,552.0,0,0,0,1,0,0,0,0,0,-0.43835044666947176
2019,16,42.6954,-1.6761,654214.0,4_family_relationships,74.0,0,0,0,1,0,0,0,0,0,-0.45674769242994273
2019,17,43.263,-2.9349,2207776.0,4_family_relationships,139.0,0,0,0,1,0,0,0,0,0,-0.45268981952488835
2019,18,42.2871,-2.5396,316798.0,4_family_relationships,31.0,0,0,0,1,0,0,0,0,0,-0.45923216622538826
2019,9,35.8894,-5.3198,84777.0,4_family_relationships,31.0,0,0,0,1,0,0,0,0,0,-0.4587623816257376
2019,10,35.293,-2.9387,86487.0,4_family_relationships,25.0,0,0,0,1,0,0,0,0,0,-0.45903811088077606
2019,0,37.3873,-5.9869,8414240.0,5_property_crimes,239711.0,0,0,0,0,1,0,0,0,0,8.857875032804154
