year,region,1_against_people,2_against_freedom,3_sexual_freedom,4_family_relationships,5_property_crimes,6_collective_security,7_forgeries,8_public_administration,9_justice_administration,Latitude,Longitude,avg_crimes,years_from_today,population
2019,0,37130,25751,2510,1503,239711,15094,3988,93,6728,37.3873,-5.9869,17723.219512195123,5,8.414.240
2019,1,4760,2276,330,161,31651,1360,446,3,799,41.6488,-0.8891,2249.9024390243903,5,1.319.291
2019,2,3368,1872,193,99,19066,1205,220,6,567,43.3619,-5.8494,1429.3902439024391,5,1.022.800
2019,3,8110,4718,743,188,58274,2880,716,11,1095,39.5712,2.6466,4082.1463414634145,5,1.149.460
2019,5,12396,9328,907,639,64716,3439,1114,17,1721,28.2916,-16.6291,4960.829268292683,5,2.153.389
2019,4,2053,1455,107,41,12953,716,162,3,282,43.1828,-3.9878,956.8780487804878,5,581.078
2019,7,7345,5398,507,196,56640,2911,840,14,1186,41.6523,-4.7245,4024.8536585365855,5,2.399.548
2019,6,7335,4655,520,326,50473,3224,1177,29,1250,39.8628,-4.0273,3716.4634146341464,5,2.032.863
2019,8,21109,18675,3034,1134,425113,8938,3791,58,3519,41.3851,2.1734,25925.048780487807,5,7.675.217
2019,11,23332,13046,1749,858,174091,7739,3250,48,4643,39.4699,-0.3763,12240.170731707318,5,5.003.769
2019,12,3185,2423,214,224,18583,1248,445,8,680,39.4765,-6.3722,1414.560975609756,5,1.067.710
2019,13,8027,5692,634,171,56924,4992,886,21,1409,42.5751,-8.1339,4256.634146341464,5,2.699.499
2019,14,29288,15655,2215,822,337836,7696,4042,55,4671,40.4168,-3.7038,21650.951219512193,5,6.663.394
2019,15,6237,3741,535,552,41700,1664,708,14,1040,37.9922,-1.1307,3032.121951219512,5,1.493.898
2019,16,2693,1799,232,74,21485,1583,374,10,415,42.6954,-1.6761,1513.9512195121952,5,654.214
2019,17,6884,7779,668,139,71978,2773,1195,12,1573,43.263,-2.9349,5049.414634146341,5,2.207.776
2019,18,1042,518,92,31,6179,413,73,5,229,42.2871,-2.5396,457.3170731707317,5,316.798
2019,9,710,283,23,31,2159,509,543,8,148,35.8894,-5.3198,217.82926829268294,5,84.777
2019,10,931,296,33,25,3281,348,289,1,97,35.293,-2.9387,281.6585365853659,5,86.487
2018,0,35043,24513,2339,1529,240939,13862,3740,123,6464,37.3873,-5.9869,17371.90243902439,6,8.384.408
2018,1,4474,2233,346,177,29952,1244,433,9,710,41.6488,-0.8891,2098.731707317073,6,1.308.728
2018,2,3159,1751,207,104,18807,1051,185,3,557,43.3619,-5.8494,1361.0243902439024,6,1.028.244
2018,3,7545,4373,584,168,55800,2676,639,6,963,39.5712,2.6466,3839.0,6,1.128.908
2018,5,11805,8955,750,754,61599,3296,754,13,1485,28.2916,-16.6291,4641.292682926829,6,2.127.685
2018,4,2110,1366,102,43,12552,748,124,0,318,43.1828,-3.9878,935.0243902439024,6,580.229
2018,7,7213,5270,439,180,55843,2709,811,17,1097,41.6523,-4.7245,3898.048780487805,6,2.409.164
2018,6,6828,4566,489,298,49886,2798,1061,37,1152,39.8628,-4.0273,3615.3414634146343,6,2.026.807
