year,region,latitude,longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
2019,0,37.3873,-5.9869,8414240.0,37130,1,0,0,0,0,0,0,0,0,0.8627432476405559
2019,1,41.6488,-0.8891,1319291.0,4760,1,0,0,0,0,0,0,0,0,-0.3059429278081876
2019,2,43.3619,-5.8494,1022800.0,3368,1,0,0,0,0,0,0,0,0,-0.3453294911504091
2019,3,39.5712,2.6466,1149460.0,8110,1,0,0,0,0,0,0,0,0,-0.19531941786665824
2019,5,28.2916,-16.6291,2153389.0,12396,1,0,0,0,0,0,0,0,0,-0.02459571538023083
2019,4,43.1828,-3.9878,581078.0,2053,1,0,0,0,0,0,0,0,0,-0.3906236668294956
2019,7,41.6523,-4.7245,2399548.0,7345,1,0,0,0,0,0,0,0,0,-0.19525608142835574
2019,6,39.8628,-4.0273,2032863.0,7335,1,0,0,0,0,0,0,0,0,-0.21405466569906778
2019,8,41.3851,2.1734,7675217.0,21109,1,0,0,0,0,0,0,0,0,0.3121066743173799
2019,11,39.4699,-0.3763,5003769.0,23332,1,0,0,0,0,0,0,0,0,0.3501332292514429
2019,12,39.4765,-6.3722,1067710.0,3185,1,0,0,0,0,0,0,0,0,-0.34720029783180595
2019,13,42.5751,-8.1339,2699499.0,8027,1,0,0,0,0,0,0,0,0,-0.16248935326464925
2019,14,40.4168,-3.7038,6663394.0,29288,1,0,0,0,0,0,0,0,0,0.554423458402898
2019,15,37.9922,-1.1307,1493898.0,6237,1,0,0,0,0,0,0,0,0,-0.23949068290558057
2019,16,42.6954,-1.6761,654214.0,2693,1,0,0,0,0,0,0,0,0,-0.373354060872537
2019,17,43.263,-2.9349,2207776.0,6884,1,0,0,0,0,0,0,0,0,-0.23724469341948845
2019,18,42.2871,-2.5396,316798.0,1042,1,0,0,0,0,0,0,0,0,-0.4288228529884883
2019,9,35.8894,-5.3198,84777.0,710,1,0,0,0,0,0,0,0,0,-0.44106964116546277
2019,10,35.293,-2.9387,86487.0,931,1,0,0,0,0,0,0,0,0,-0.43384648092699085
2018,0,37.3873,-5.9869,8384408.0,35043,1,0,0,0,0,0,0,0,0,1.0189081709198666
