,year,region,latitude,longitude,population,variable,value,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,Values_year_PCA
0,2019,0,37.3873,-5.9869,8414240.0,1_against_people,37130.0,1,0,0,0,0,0,0,0,0,0.8706815012876513
1,2019,1,41.6488,-0.8891,1319291.0,1_against_people,4760.0,1,0,0,0,0,0,0,0,0,-0.2983352089337612
2,2019,2,43.3619,-5.8494,1022800.0,1_against_people,3368.0,1,0,0,0,0,0,0,0,0,-0.33738532401150245
3,2019,3,39.5712,2.6466,1149460.0,1_against_people,8110.0,1,0,0,0,0,0,0,0,0,-0.18794081103845217
4,2019,5,28.2916,-16.6291,2153389.0,1_against_people,12396.0,1,0,0,0,0,0,0,0,0,-0.016985323591367042
5,2019,4,43.1828,-3.9878,581078.0,1_against_people,2053.0,1,0,0,0,0,0,0,0,0,-0.3828635864029521
6,2019,7,41.6523,-4.7245,2399548.0,1_against_people,7345.0,1,0,0,0,0,0,0,0,0,-0.18744143467379545
7,2019,6,39.8628,-4.0273,2032863.0,1_against_people,7335.0,1,0,0,0,0,0,0,0,0,-0.2063562044837934
8,2019,8,41.3851,2.1734,7675217.0,1_against_people,21109.0,1,0,0,0,0,0,0,0,0,0.3197723249186565
9,2019,11,39.4699,-0.3763,5003769.0,1_against_people,23332.0,1,0,0,0,0,0,0,0,0,0.35764293370119293
10,2019,12,39.4765,-6.3722,1067710.0,1_against_people,3185.0,1,0,0,0,0,0,0,0,0,-0.339295600464442
11,2019,13,42.5751,-8.1339,2699499.0,1_against_people,8027.0,1,0,0,0,0,0,0,0,0,-0.15457048607992047
12,2019,14,40.4168,-3.7038,6663394.0,1_against_people,29288.0,1,0,0,0,0,0,0,0,0,0.5616192218891296
13,2019,15,37.9922,-1.1307,1493898.0,1_against_people,6237.0,1,0,0,0,0,0,0,0,0,-0.23168502610082956
14,2019,16,42.6954,-1.6761,654214.0,1_against_people,2693.0,1,0,0,0,0,0,0,0,0,-0.3656488837601108
15,2019,17,43.263,-2.9349,2207776.0,1_against_people,6884.0,1,0,0,0,0,0,0,0,0,-0.22995924198643278
16,2019,18,42.2871,-2.5396,316798.0,1_against_people,1042.0,1,0,0,0,0,0,0,0,0,-0.42105863067286514
17,2019,9,35.8894,-5.3198,84777.0,1_against_people,710.0,1,0,0,0,0,0,0,0,0,-0.4332822110689647
18,2019,10,35.293,-2.9387,86487.0,1_against_people,931.0,1,0,0,0,0,0,0,0,0,-0.42602512417639116
19,2019,0,37.3873,-5.9869,8414240.0,2_against_freedom,25751.0,0,1,0,0,0,0,0,0,0,0.4644766565914398
20,2019,1,41.6488,-0.8891,1319291.0,2_against_freedom,2276.0,0,1,0,0,0,0,0,0,0,-0.37750569983587035
21,2019,2,43.3619,-5.8494,1022800.0,2_against_freedom,1872.0,0,1,0,0,0,0,0,0,0,-0.39051032975867006
22,2019,3,39.5712,2.6466,1149460.0,2_against_freedom,4718.0,0,1,0,0,0,0,0,0,0,-0.29323163355705106
23,2019,5,28.2916,-16.6291,2153389.0,2_against_freedom,9328.0,0,1,0,0,0,0,0,0,0,-0.12524106069568258
24,2019,4,43.1828,-3.9878,581078.0,2_against_freedom,1455.0,0,1,0,0,0,0,0,0,0,-0.4091553884371751
25,2019,7,41.6523,-4.7245,2399548.0,2_against_freedom,5398.0,0,1,0,0,0,0,0,0,0,-0.26176332618494713
26,2019,6,39.8628,-4.0273,2032863.0,2_against_freedom,4655.0,0,1,0,0,0,0,0,0,0,-0.2923614766868455
27,2019,8,41.3851,2.1734,7675217.0,2_against_freedom,18675.0,0,1,0,0,0,0,0,0,0,0.2440236407518572
28,2019,11,39.4699,-0.3763,5003769.0,2_against_freedom,13046.0,0,1,0,0,0,0,0,0,0,0.007732768045637809
29,2019,12,39.4765,-6.3722,1067710.0,2_against_freedom,2423.0,0,1,0,0,0,0,0,0,0,-0.37641788887524336
30,2019,13,42.5751,-8.1339,2699499.0,2_against_freedom,5692.0,0,1,0,0,0,0,0,0,0,-0.2343549426792749
31,2019,14,40.4168,-3.7038,6663394.0,2_against_freedom,15655.0,0,1,0,0,0,0,0,0,0,0.0770171787695219
32,2019,15,37.9922,-1.1307,1493898.0,2_against_freedom,3741.0,0,1,0,0,0,0,0,0,0,-0.335066197712193
33,2019,16,42.6954,-1.6761,654214.0,2_against_freedom,1799.0,0,1,0,0,0,0,0,0,0,-0.3936485816302011
34,2019,17,43.263,-2.9349,2207776.0,2_against_freedom,7779.0,0,1,0,0,0,0,0,0,0,-0.16204140276751386
35,2019,18,42.2871,-2.5396,316798.0,2_against_freedom,518.0,0,1,0,0,0,0,0,0,0,-0.44202212138437236
36,2019,9,35.8894,-5.3198,84777.0,2_against_freedom,283.0,0,1,0,0,0,0,0,0,0,-0.44945612445170274
37,2019,10,35.293,-2.9387,86487.0,2_against_freedom,296.0,0,1,0,0,0,0,0,0,0,-0.4474182290470309
38,2019,0,37.3873,-5.9869,8414240.0,3_sexual_freedom,2510.0,0,0,1,0,0,0,0,0,0,-0.38026086940101267
39,2019,1,41.6488,-0.8891,1319291.0,3_sexual_freedom,330.0,0,0,1,0,0,0,0,0,0,-0.44843695922571947
40,2019,2,43.3619,-5.8494,1022800.0,3_sexual_freedom,193.0,0,0,1,0,0,0,0,0,0,-0.45367188793676827
