year,region,Latitude,Longitude,population,values_year,1_against_people_indicator,2_against_freedom_indicator,3_sexual_freedom_indicator,4_family_relationships_indicator,5_property_crimes_indicator,6_collective_security_indicator,7_forgeries_indicator,8_public_administration_indicator,9_justice_administration_indicator,values_year_minus_1,values_year_minus_2,values_year_minus_3
2019,0,37.3873,-5.9869,8.414.240,37130,1,0,0,0,0,0,0,0,0,35043.0,35087.0,33661.0
2019,1,41.6488,-0.8891,1.319.291,4760,1,0,0,0,0,0,0,0,0,4474.0,4146.0,4005.0
2019,2,43.3619,-5.8494,1.022.800,3368,1,0,0,0,0,0,0,0,0,3159.0,3160.0,3239.0
2019,3,39.5712,2.6466,1.149.460,8110,1,0,0,0,0,0,0,0,0,7545.0,7096.0,6609.0
2019,5,28.2916,-16.6291,2.153.389,12396,1,0,0,0,0,0,0,0,0,11805.0,11744.0,11021.0
2019,4,43.1828,-3.9878,581.078,2053,1,0,0,0,0,0,0,0,0,2110.0,1941.0,1971.0
2019,7,41.6523,-4.7245,2.399.548,7345,1,0,0,0,0,0,0,0,0,7213.0,7127.0,6922.0
2019,6,39.8628,-4.0273,2.032.863,7335,1,0,0,0,0,0,0,0,0,6828.0,6583.0,6383.0
2019,8,41.3851,2.1734,7.675.217,21109,1,0,0,0,0,0,0,0,0,20684.0,20582.0,19569.0
2019,11,39.4699,-0.3763,5.003.769,23332,1,0,0,0,0,0,0,0,0,22039.0,21164.0,20598.0
2019,12,39.4765,-6.3722,1.067.710,3185,1,0,0,0,0,0,0,0,0,3097.0,3184.0,3130.0
2019,13,42.5751,-8.1339,2.699.499,8027,1,0,0,0,0,0,0,0,0,8039.0,7927.0,7854.0
2019,14,40.4168,-3.7038,6.663.394,29288,1,0,0,0,0,0,0,0,0,27360.0,27093.0,25275.0
2019,15,37.9922,-1.1307,1.493.898,6237,1,0,0,0,0,0,0,0,0,6010.0,6033.0,5768.0
2019,16,42.6954,-1.6761,654.214,2693,1,0,0,0,0,0,0,0,0,2589.0,2427.0,2352.0
2019,17,43.263,-2.9349,2.207.776,6884,1,0,0,0,0,0,0,0,0,6391.0,6193.0,5393.0
2019,18,42.2871,-2.5396,316.798,1042,1,0,0,0,0,0,0,0,0,1057.0,1006.0,979.0
2019,9,35.8894,-5.3198,84.777,710,1,0,0,0,0,0,0,0,0,707.0,700.0,680.0
2019,10,35.293,-2.9387,86.487,931,1,0,0,0,0,0,0,0,0,874.0,889.0,888.0
2018,0,37.3873,-5.9869,8.384.408,35043,1,0,0,0,0,0,0,0,0,35087.0,33661.0,47420.0
2018,1,41.6488,-0.8891,1.308.728,4474,1,0,0,0,0,0,0,0,0,4146.0,4005.0,4735.0
2018,2,43.3619,-5.8494,1.028.244,3159,1,0,0,0,0,0,0,0,0,3160.0,3239.0,4238.0
2018,3,39.5712,2.6466,1.128.908,7545,1,0,0,0,0,0,0,0,0,7096.0,6609.0,7774.0
2018,5,28.2916,-16.6291,2.127.685,11805,1,0,0,0,0,0,0,0,0,11744.0,11021.0,15540.0
2018,4,43.1828,-3.9878,580.229,2110,1,0,0,0,0,0,0,0,0,1941.0,1971.0,2656.0
2018,7,41.6523,-4.7245,2.409.164,7213,1,0,0,0,0,0,0,0,0,7127.0,6922.0,10203.0
2018,6,39.8628,-4.0273,2.026.807,6828,1,0,0,0,0,0,0,0,0,6583.0,6383.0,8877.0
2018,8,41.3851,2.1734,7.600.065,20684,1,0,0,0,0,0,0,0,0,20582.0,19569.0,27269.0
2018,11,39.4699,-0.3763,4.963.703,22039,1,0,0,0,0,0,0,0,0,21164.0,20598.0,26573.0
2018,12,39.4765,-6.3722,1.072.863,3097,1,0,0,0,0,0,0,0,0,3184.0,3130.0,4245.0
2018,13,42.5751,-8.1339,2.701.743,8039,1,0,0,0,0,0,0,0,0,7927.0,7854.0,11296.0
2018,14,40.4168,-3.7038,6.578.079,27360,1,0,0,0,0,0,0,0,0,27093.0,25275.0,30615.0
2018,15,37.9922,-1.1307,1.478.509,6010,1,0,0,0,0,0,0,0,0,6033.0,5768.0,7534.0
2018,16,42.6954,-1.6761,647.554,2589,1,0,0,0,0,0,0,0,0,2427.0,2352.0,2945.0
2018,17,43.263,-2.9349,2.199.088,6391,1,0,0,0,0,0,0,0,0,6193.0,5393.0,8881.0
2018,18,42.2871,-2.5396,315.675,1057,1,0,0,0,0,0,0,0,0,1006.0,979.0,1176.0
